dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000059,14.475000,0.000199,0.019900,0.995025,49.751244,0.000012
0.020000,0.000728,14.475000,0.000868,0.033447,0.677301,-15.886201,0.000142
0.020000,0.002233,14.475000,0.002373,0.075254,2.090366,70.653240,0.000435
0.020000,0.004742,14.475002,0.004881,0.125420,2.508333,20.898369,0.000924
0.020000,0.008253,14.475007,0.008393,0.175583,2.508144,-0.009437,0.001609
0.020000,0.012768,14.475016,0.012908,0.225741,2.507883,-0.013080,0.002489
0.020000,0.018286,14.475033,0.018426,0.275892,2.507555,-0.016399,0.003565
0.020000,0.024807,14.475060,0.024946,0.326035,2.507164,-0.019513,0.004837
0.020000,0.032330,14.475102,0.032470,0.376170,2.506719,-0.022255,0.006306
0.020000,0.040856,14.475163,0.040996,0.426294,2.506227,-0.024611,0.007971
0.020000,0.050383,14.475248,0.050524,0.476408,2.505696,-0.026554,0.009833
0.020000,0.060913,14.475362,0.061054,0.526511,2.505139,-0.027858,0.011891
0.020000,0.072444,14.475512,0.072586,0.576602,2.504566,-0.028654,0.014147
0.020000,0.084976,14.475705,0.085120,0.626682,2.503990,-0.028788,0.016600
0.020000,0.098509,14.475947,0.098655,0.676751,2.503427,-0.028128,0.019251
0.020000,0.113042,14.476248,0.113191,0.726809,2.502894,-0.026672,0.022099
0.020000,0.128575,14.476615,0.128728,0.776857,2.502406,-0.024379,0.025146
0.020000,0.145107,14.477057,0.145266,0.826896,2.501984,-0.021098,0.028390
0.020000,0.162638,14.477586,0.162805,0.876929,2.501649,-0.016788,0.031833
0.020000,0.181166,14.478209,0.181344,0.926958,2.501422,-0.011326,0.035475
0.020000,0.200692,14.478940,0.200883,0.976984,2.501327,-0.004776,0.039315
0.020000,0.221215,14.479789,0.221424,1.027012,2.501389,0.003135,0.043353
0.020000,0.242734,14.480768,0.242965,1.077045,2.501637,0.012390,0.047590
0.020000,0.265247,14.481890,0.265506,1.127087,2.502097,0.022979,0.052024
0.020000,0.288756,14.483169,0.289049,1.177143,2.502800,0.035177,0.056657
0.020000,0.313257,14.484618,0.313594,1.227218,2.503778,0.048901,0.061487
0.020000,0.338751,14.486252,0.339140,1.277320,2.505064,0.064280,0.066514
