dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000071,13.500000,0.000199,0.019900,0.995025,49.751244,0.000012
0.020000,0.000867,13.500000,0.000995,0.059701,1.990050,49.751244,0.000142
0.020000,0.002658,13.500001,0.002786,0.119403,2.985075,49.751244,0.000435
0.020000,0.005643,13.500003,0.005771,0.179104,2.985075,0.000000,0.000924
0.020000,0.009822,13.500008,0.009950,0.238806,2.985075,0.000000,0.001609
0.020000,0.015195,13.500019,0.015323,0.298507,2.985075,0.000000,0.002489
0.020000,0.021762,13.500039,0.021891,0.358209,2.985075,-0.000000,0.003565
0.020000,0.029523,13.500071,0.029652,0.417910,2.985075,0.000000,0.004837
0.020000,0.038478,13.500121,0.038607,0.477612,2.985075,-0.000000,0.006306
0.020000,0.048627,13.500194,0.048756,0.537313,2.985075,0.000000,0.007971
0.020000,0.059970,13.500295,0.060100,0.597015,2.985075,0.000000,0.009833
0.020000,0.072507,13.500431,0.072637,0.656716,2.985075,-0.000000,0.011891
0.020000,0.086237,13.500610,0.086368,0.716418,2.985075,0.000000,0.014147
0.020000,0.101160,13.500839,0.101294,0.776119,2.985075,0.000000,0.016600
0.020000,0.117277,13.501128,0.117413,0.835821,2.985075,0.000000,0.019251
0.020000,0.134587,13.501486,0.134726,0.895522,2.985075,-0.000000,0.022099
0.020000,0.153089,13.501923,0.153234,0.955224,2.985075,0.000000,0.025146
0.020000,0.172784,13.502450,0.172935,1.014925,2.985075,0.000000,0.028390
0.020000,0.193670,13.503079,0.193831,1.074627,2.985075,-0.000000,0.031833
0.020000,0.215747,13.503823,0.215920,1.134328,2.985075,0.000000,0.035475
0.020000,0.239014,13.504693,0.239204,1.194030,2.985075,0.000000,0.039315
0.020000,0.263471,13.505705,0.263682,1.253731,2.985075,-0.000000,0.043353
0.020000,0.289116,13.506872,0.289353,1.313433,2.985075,0.000000,0.047590
0.020000,0.315948,13.508209,0.316219,1.373134,2.985075,0.000000,0.052024
0.020000,0.343966,13.509733,0.344279,1.432836,2.985075,-0.000000,0.056657
0.020000,0.373169,13.511460,0.373532,1.492537,2.985075,0.000000,0.061487
0.020000,0.403555,13.513408,0.403980,1.552239,2.985075,0.000000,0.066514
0.020000,0.435121,13.515593,0.435622,1.611940,2.985075,-0.000000,0.071737
0.020000,0.467866,13.518035,0.468458,1.671642,2.985075,0.000000,0.077156
0.020000,0.501787,13.520754,0.502488,1.731343,2.985075,-0.000000,0.082769
0.020000,0.536881,13.523768,0.537711,1.791045,2.985075,0.000000,0.088576
0.020000,0.573147,13.527098,0.574129,1.850746,2.985075,-0.000000,0.094574
0.020000,0.610579,13.530766,0.611741,1.910448,2.985075,0.000000,0.100762
0.020000,0.649176,13.534792,0.650547,1.970149,2.985075,0.000000,0.107139
0.020000,0.688932,13.539200,0.690547,2.029851,2.985075,-0.000000,0.113703
0.020000,0.729844,13.544012,0.731741,2.089552,2.985075,0.000000,0.120450
0.020000,0.771907,13.549251,0.774129,2.149254,2.985075,-0.000000,0.127379
0.020000,0.815116,13.554941,0.817711,2.208955,2.985075,0.000000,0.134486
0.020000,0.859465,13.561106,0.862488,2.268657,2.985075,0.000000,0.141769
0.020000,0.904950,13.567771,0.908458,2.328358,2.985075,0.000000,0.149223
0.020000,0.951562,13.574961,0.955622,2.388060,2.985075,0.000000,0.156844
0.020000,0.999297,13.582701,1.003980,2.447761,2.985075,-0.000000,0.164629
0.020000,1.048147,13.591016,1.053532,2.507463,2.985075,0.000000,0.172573
0.020000,1.098103,13.599932,1.104279,2.567164,2.985075,-0.000000,0.180671
0.020000,1.149159,13.609476,1.156219,2.626866,2.985075,0.000000,0.188916
0.020000,1.201306,13.619674,1.209353,2.686567,2.985075,-0.000000,0.197304
0.020000,1.254534,13.630551,1.263682,2.746269,2.985075,0.000000,0.205829
0.020000,1.308834,13.642133,1.319204,2.805970,2.985075,-0.000000,0.214483
0.020000,1.364197,13.654448,1.375920,2.865672,2.985075,0.000000,0.223259
0.020000,1.420613,13.667521,1.433831,2.925373,2.985075,0.000000,0.232150
0.020000,1.478070,13.681379,1.492935,2.985075,2.985075,-0.000000,0.241148
0.020000,1.536557,13.696046,1.553234,3.044776,2.985075,0.000000,0.250245
0.020000,1.596063,13.711548,1.614726,3.104478,2.985075,-0.000000,0.259432
0.020000,1.656577,13.727910,1.677413,3.164179,2.985075,0.000000,0.268700
0.020000,1.718085,13.745157,1.741294,3.223881,2.985075,0.000000,0.278040
0.020000,1.780575,13.763312,1.806368,3.283582,2.985075,-0.000000,0.287441
0.020000,1.844035,13.782400,1.872637,3.343284,2.985075,0.000000,0.296894
0.020000,1.908451,13.802443,1.940100,3.402985,2.985075,-0.000000,0.306388
0.020000,1.973811,13.823463,2.008756,3.462687,2.985075,0.000000,0.315912
0.020000,2.040100,13.845482,2.078607,3.522388,2.985075,0.000000,0.325455
0.020000,2.107305,13.868520,2.149652,3.582090,2.985075,0.000000,0.335006
0.020000,2.175414,13.892596,2.221891,3.641791,2.985075,0.000000,0.344554
0.020000,2.244411,13.917730,2.295323,3.701493,2.985075,-0.000000,0.354087
0.020000,2.314284,13.943939,2.369950,3.761194,2.985075,0.000000,0.363592
0.020000,2.385019,13.971240,2.445771,3.820896,2.985075,0.000000,0.373058
0.020000,2.456603,13.999648,2.522786,3.880597,2.985075,0.000000,0.382473
0.020000,2.529023,14.029176,2.600995,3.940299,2.985075,0.000000,0.391824
0.020000,2.602082,14.059762,2.680199,3.980100,1.990050,-49.751244,0.401077
0.020000,2.675407,14.091252,2.760000,4.000000,0.995025,-49.751244,0.410176
0.020000,2.748628,14.123481,2.840000,4.000000,0.000000,-49.751244,0.419070
0.020000,2.821563,14.156352,2.920000,4.000000,0.000000,0.000000,0.427736
0.020000,2.894214,14.189845,3.000000,4.000000,0.000000,0.000000,0.436171
0.020000,2.966584,14.223941,3.080000,4.000000,0.000000,0.000000,0.444374
0.020000,3.038676,14.258621,3.160000,4.000000,0.000000,0.000000,0.452346
0.020000,3.110493,14.293867,3.240000,4.000000,0.000000,0.000000,0.460085
0.020000,3.182039,14.329659,3.320000,4.000000,0.000000,0.000000,0.467592
0.020000,3.253319,14.365979,3.400000,4.000000,0.000000,0.000000,0.474865
0.020000,3.324338,14.402808,3.480000,4.000000,0.000000,0.000000,0.481907
0.020000,3.395099,14.440128,3.560000,4.000000,0.000000,0.000000,0.488716
0.020000,3.465609,14.477921,3.640000,4.000000,0.000000,0.000000,0.495294
0.020000,3.535874,14.516168,3.720000,4.000000,0.000000,0.000000,0.501641
0.020000,3.605899,14.554853,3.800000,4.000000,0.000000,0.000000,0.507758
0.020000,3.675690,14.593957,3.880000,4.000000,0.000000,0.000000,0.513646
0.020000,3.745254,14.633464,3.960000,4.000000,0.000000,0.000000,0.519305
0.020000,3.814598,14.673356,4.040000,4.000000,0.000000,0.000000,0.524738
0.020000,3.883729,14.713616,4.120000,4.000000,0.000000,0.000000,0.529945
0.020000,3.952654,14.754228,4.200000,4.000000,0.000000,0.000000,0.534927
0.020000,4.021381,14.795176,4.280000,4.000000,0.000000,0.000000,0.539685
0.020000,4.089916,14.836442,4.360000,4.000000,0.000000,0.000000,0.544221
0.020000,4.158268,14.878011,4.440000,4.000000,0.000000,0.000000,0.548537
0.020000,4.226445,14.919867,4.520000,4.000000,0.000000,0.000000,0.552632
0.020000,4.294454,14.961994,4.600000,4.000000,0.000000,0.000000,0.556508
0.020000,4.362304,15.004377,4.680000,4.000000,0.000000,0.000000,0.560168
0.020000,4.430004,15.047001,4.760000,4.000000,0.000000,0.000000,0.563611
0.020000,4.497560,15.089851,4.840000,4.000000,0.000000,0.000000,0.566839
0.020000,4.564983,15.132911,4.920000,4.000000,0.000000,0.000000,0.569853
0.020000,4.632280,15.176168,5.000000,4.000000,0.000000,0.000000,0.572654
0.020000,4.699460,15.219605,5.080000,4.000000,0.000000,0.000000,0.575244
0.020000,4.766533,15.263209,5.160000,4.000000,0.000000,0.000000,0.577623
0.020000,4.833505,15.306966,5.240000,4.000000,0.000000,0.000000,0.579791
0.020000,4.900388,15.350860,5.320000,4.000000,0.000000,0.000000,0.581751
0.020000,4.967189,15.394879,5.400000,4.000000,0.000000,0.000000,0.583503
0.020000,5.033917,15.439008,5.480000,4.000000,0.000000,0.000000,0.585046
0.020000,5.100581,15.483232,5.560000,4.000000,0.000000,0.000000,0.586383
0.020000,5.167191,15.527539,5.640000,4.000000,0.000000,0.000000,0.587513
0.020000,5.233756,15.571915,5.720000,4.000000,0.000000,0.000000,0.588438
0.020000,5.300284,15.616345,5.800000,4.000000,0.000000,0.000000,0.589156
0.020000,5.366785,15.660816,5.880000,4.000000,0.000000,0.000000,0.589670
0.020000,5.433267,15.705314,5.960000,4.000000,0.000000,0.000000,0.589978
0.020000,5.499740,15.749826,6.040000,4.000000,0.000000,0.000000,0.590081
0.020000,5.566213,15.794338,6.120000,4.000000,0.000000,0.000000,0.589979
0.020000,5.632695,15.838836,6.200000,4.000000,0.000000,0.000000,0.589673
0.020000,5.699196,15.883308,6.280000,4.000000,0.000000,0.000000,0.589161
0.020000,5.765724,15.927738,6.360000,4.000000,0.000000,0.000000,0.588444
0.020000,5.832288,15.972114,6.440000,4.000000,0.000000,0.000000,0.587521
0.020000,5.898897,16.016421,6.520000,4.000000,0.000000,0.000000,0.586393
0.020000,5.965562,16.060647,6.600000,4.000000,0.000000,0.000000,0.585058
0.020000,6.032289,16.104776,6.680000,4.000000,0.000000,0.000000,0.583515
0.020000,6.099090,16.148796,6.760000,4.000000,0.000000,0.000000,0.581766
0.020000,6.165971,16.192692,6.840000,4.000000,0.000000,0.000000,0.579808
0.020000,6.232943,16.236449,6.920000,4.000000,0.000000,0.000000,0.577640
0.020000,6.300015,16.280055,7.000000,4.000000,0.000000,0.000000,0.575263
0.020000,6.367194,16.323493,7.080000,4.000000,0.000000,0.000000,0.572675
0.020000,6.434490,16.366751,7.160000,4.000000,0.000000,0.000000,0.569876
0.020000,6.501912,16.409813,7.240000,4.000000,0.000000,0.000000,0.566863
0.020000,6.569467,16.452664,7.320000,4.000000,0.000000,0.000000,0.563637
0.020000,6.637166,16.495290,7.400000,4.000000,0.000000,0.000000,0.560195
0.020000,6.705014,16.537676,7.480000,4.000000,0.000000,0.000000,0.556538
0.020000,6.773023,16.579805,7.560000,4.000000,0.000000,0.000000,0.552663
0.020000,6.841198,16.621663,7.640000,4.000000,0.000000,0.000000,0.548569
0.020000,6.909549,16.663235,7.720000,4.000000,0.000000,0.000000,0.544256
0.020000,6.978083,16.704503,7.800000,4.000000,0.000000,0.000000,0.539722
0.020000,7.046807,16.745453,7.880000,4.000000,0.000000,0.000000,0.534965
0.020000,7.115731,16.786067,7.960000,4.000000,0.000000,0.000000,0.529985
0.020000,7.184860,16.826330,8.040000,4.000000,0.000000,0.000000,0.524780
0.020000,7.254203,16.866225,8.120000,4.000000,0.000000,0.000000,0.519349
0.020000,7.323765,16.905735,8.200000,4.000000,0.000000,0.000000,0.513691
0.020000,7.393555,16.944843,8.280000,4.000000,0.000000,0.000000,0.507805
