dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000082,12.525000,0.000199,0.019900,0.995025,49.751244,0.000012
0.020000,0.001005,12.525000,0.001122,0.046155,1.312749,15.886193,0.000142
0.020000,0.003082,12.525001,0.003199,0.103851,2.884759,78.600509,0.000435
0.020000,0.006544,12.525003,0.006661,0.173087,3.461816,28.852833,0.000924
0.020000,0.011390,12.525009,0.011507,0.242327,3.462006,0.009506,0.001609
0.020000,0.017622,12.525022,0.017739,0.311572,3.462265,0.012989,0.002489
0.020000,0.025238,12.525045,0.025355,0.380824,3.462594,0.016417,0.003565
0.020000,0.034240,12.525083,0.034357,0.450084,3.462983,0.019479,0.004837
0.020000,0.044627,12.525141,0.044744,0.519353,3.463429,0.022257,0.006306
0.020000,0.056399,12.525225,0.056517,0.588631,3.463921,0.024619,0.007971
0.020000,0.069557,12.525342,0.069675,0.657920,3.464450,0.026448,0.009833
0.020000,0.084100,12.525500,0.084219,0.727220,3.465008,0.027900,0.011891
0.020000,0.100030,12.525707,0.100150,0.796532,3.465581,0.028632,0.014147
0.020000,0.117345,12.525973,0.117467,0.865855,3.466154,0.028694,0.016600
0.020000,0.136045,12.526309,0.136171,0.935189,3.466716,0.028100,0.019251
0.020000,0.156132,12.526724,0.156262,1.004534,3.467250,0.026680,0.022099
0.020000,0.177604,12.527231,0.177739,1.073889,3.467736,0.024316,0.025146
0.020000,0.200461,12.527843,0.200604,1.143252,3.468157,0.021038,0.028390
0.020000,0.224702,12.528573,0.224857,1.212622,3.468492,0.016722,0.031833
0.020000,0.250327,12.529436,0.250497,1.281996,3.468719,0.011350,0.035475
0.020000,0.277336,12.530447,0.277524,1.351372,3.468812,0.004650,0.039315
0.020000,0.305727,12.531621,0.305939,1.420747,3.468748,-0.003189,0.043353
0.020000,0.335498,12.532975,0.335742,1.490117,3.468500,-0.012379,0.047590
0.020000,0.366649,12.534528,0.366931,1.559478,3.468038,-0.023119,0.052024
0.020000,0.399177,12.536298,0.399508,1.628825,3.467334,-0.035215,0.056657
0.020000,0.433081,12.538303,0.433471,1.698152,3.466354,-0.048963,0.061487
0.020000,0.468358,12.540564,0.468820,1.767453,3.465067,-0.064356,0.066514
0.020000,0.505005,12.543101,0.505554,1.836722,3.463438,-0.081463,0.071737
0.020000,0.543018,12.545936,0.543673,1.905951,3.461431,-0.100354,0.077156
0.020000,0.582394,12.549091,0.583176,1.975131,3.459009,-0.121071,0.082769
0.020000,0.623130,12.552590,0.624061,2.044253,3.456134,-0.143756,0.088576
0.020000,0.665219,12.556455,0.666327,2.113309,3.452768,-0.168320,0.094574
0.020000,0.708656,12.560711,0.709973,2.182286,3.448870,-0.194891,0.100762
0.020000,0.753437,12.565383,0.754996,2.251174,3.444401,-0.223437,0.107139
0.020000,0.799553,12.570496,0.801396,2.319961,3.439319,-0.254099,0.113703
0.020000,0.846999,12.576076,0.849168,2.388632,3.433587,-0.286640,0.120450
0.020000,0.895766,12.582150,0.898312,2.457176,3.427160,-0.321304,0.127379
0.020000,0.945845,12.588745,0.948823,2.525576,3.420002,-0.357905,0.134486
0.020000,0.997227,12.595888,1.000700,2.593817,3.412074,-0.396404,0.141769
0.020000,1.049902,12.603607,1.053937,2.661884,3.403339,-0.436785,0.149223
0.020000,1.103859,12.611929,1.108532,2.729759,3.393760,-0.478940,0.156844
0.020000,1.159087,12.620884,1.164481,2.797425,3.383305,-0.522716,0.164629
0.020000,1.215572,12.630498,1.221778,2.864864,3.371944,-0.568053,0.172573
0.020000,1.273300,12.640802,1.280419,2.932057,3.359650,-0.614737,0.180671
0.020000,1.332259,12.651823,1.340399,2.998985,3.346398,-0.662589,0.188916
0.020000,1.392432,12.663590,1.401712,3.065628,3.332169,-0.711467,0.197304
0.020000,1.453803,12.676131,1.464351,3.131967,3.316946,-0.761108,0.205829
0.020000,1.516355,12.689474,1.528311,3.197982,3.300722,-0.811224,0.214483
0.020000,1.580071,12.703647,1.593584,3.263652,3.283489,-0.861648,0.223259
0.020000,1.644931,12.718677,1.660163,3.328957,3.265249,-0.912007,0.232150
0.020000,1.710917,12.734591,1.728040,3.393877,3.246007,-0.962079,0.241148
0.020000,1.778007,12.751415,1.797208,3.458392,3.225777,-1.011518,0.250245
0.020000,1.846182,12.769175,1.867658,3.522484,3.204577,-1.059997,0.259432
0.020000,1.915418,12.787896,1.939380,3.586132,3.182432,-1.107239,0.268700
0.020000,1.985694,12.807601,2.012367,3.649320,3.159375,-1.152879,0.278040
0.020000,2.056987,12.828314,2.086607,3.712029,3.135442,-1.196643,0.287441
0.020000,2.129273,12.850056,2.162092,3.774242,3.110678,-1.238195,0.296894
0.020000,2.202527,12.872849,2.238811,3.835945,3.085133,-1.277256,0.306388
0.020000,2.276727,12.896712,2.316754,3.897122,3.058862,-1.313552,0.315912
0.020000,2.351847,12.921664,2.395909,3.957761,3.031925,-1.346841,0.325455
0.020000,2.427861,12.947722,2.476266,4.017848,3.004387,-1.376894,0.335006
0.020000,2.504746,12.974901,2.557813,4.077375,2.976316,-1.403533,0.344554
0.020000,2.582476,13.003216,2.640540,4.136330,2.947784,-1.426606,0.354087
0.020000,2.661026,13.032679,2.724434,4.194708,2.918864,-1.446010,0.363592
0.020000,2.740372,13.063303,2.809484,4.252500,2.889631,-1.461665,0.373058
0.020000,2.820488,13.095097,2.895678,4.309703,2.860159,-1.473570,0.382473
0.020000,2.901351,13.128068,2.983004,4.366314,2.830525,-1.481734,0.391824
0.020000,2.982732,13.162137,3.071230,4.411260,2.247302,-29.161121,0.401077
0.020000,3.064209,13.197128,3.159902,4.433609,1.117450,-56.492626,0.410176
0.020000,3.145366,13.232850,3.248574,4.433589,-0.001017,-55.923342,0.419070
0.020000,3.226004,13.269192,3.337022,4.422421,-0.558385,-27.868380,0.427736
0.020000,3.306124,13.306128,3.425246,4.411191,-0.561475,-0.154485,0.436171
0.020000,3.385729,13.343633,3.513244,4.399915,-0.563838,-0.118177,0.444374
0.020000,3.464825,13.381683,3.601016,4.388604,-0.565526,-0.084420,0.452346
0.020000,3.543417,13.420252,3.688562,4.377272,-0.566590,-0.053202,0.460085
0.020000,3.621509,13.459319,3.775880,4.365931,-0.567081,-0.024509,0.467592
0.020000,3.699108,13.498858,3.862972,4.354590,-0.567047,0.001696,0.474865
0.020000,3.776221,13.538848,3.949837,4.343259,-0.566537,0.025474,0.481907
0.020000,3.852855,13.579265,4.036476,4.331947,-0.565600,0.046878,0.488716
0.020000,3.929017,13.620087,4.122889,4.320661,-0.564280,0.065997,0.495294
0.020000,4.004717,13.661293,4.209078,4.309409,-0.562622,0.082903,0.501641
0.020000,4.079962,13.702862,4.295041,4.298196,-0.560668,0.097690,0.507758
0.020000,4.154762,13.744773,4.380782,4.287027,-0.558459,0.110448,0.513646
0.020000,4.229125,13.787004,4.466300,4.275906,-0.556033,0.121284,0.519305
0.020000,4.303060,13.829537,4.551597,4.264837,-0.553427,0.130296,0.524738
0.020000,4.376578,13.872352,4.636673,4.253824,-0.550676,0.137567,0.529945
0.020000,4.449688,13.915430,4.721531,4.242868,-0.547812,0.143223,0.534927
0.020000,4.522400,13.958752,4.806170,4.231970,-0.544865,0.147346,0.539685
0.020000,4.594725,14.002299,4.890593,4.221133,-0.541864,0.150035,0.544221
0.020000,4.666671,14.046054,4.974800,4.210356,-0.538836,0.151399,0.548537
0.020000,4.738251,14.089999,5.058793,4.199640,-0.535806,0.151506,0.552632
0.020000,4.809473,14.134117,5.142572,4.188984,-0.532796,0.150476,0.556508
0.020000,4.880350,14.178391,5.226140,4.178388,-0.529829,0.148363,0.560168
0.020000,4.950890,14.222803,5.309497,4.167849,-0.526924,0.145276,0.563611
0.020000,5.021104,14.267339,5.392644,4.157367,-0.524098,0.141276,0.566839
0.020000,5.091004,14.311981,5.475583,4.146940,-0.521369,0.136447,0.569853
0.020000,5.160598,14.356714,5.558315,4.136565,-0.518752,0.130861,0.572654
0.020000,5.229899,14.401522,5.640839,4.126240,-0.516260,0.124580,0.575244
0.020000,5.298916,14.446390,5.723159,4.115961,-0.513907,0.117668,0.577623
0.020000,5.367659,14.491303,5.805273,4.105727,-0.511703,0.110199,0.579791
0.020000,5.436138,14.536246,5.887184,4.095534,-0.509659,0.102212,0.581751
0.020000,5.504365,14.581204,5.968891,4.085379,-0.507783,0.093775,0.583503
0.020000,5.572349,14.626163,6.050396,4.075257,-0.506084,0.084936,0.585046
0.020000,5.640100,14.671108,6.131700,4.065165,-0.504570,0.075742,0.586383
0.020000,5.707627,14.716026,6.212802,4.055101,-0.503245,0.066244,0.587513
0.020000,5.774941,14.760901,6.293703,4.045058,-0.502115,0.056484,0.588438
0.020000,5.842052,14.805720,6.374404,4.035035,-0.501185,0.046507,0.589156
0.020000,5.908969,14.850469,6.454904,4.025025,-0.500458,0.036353,0.589670
0.020000,5.975701,14.895135,6.535205,4.015027,-0.499936,0.026065,0.589978
0.020000,6.042258,14.939703,6.615305,4.005034,-0.499623,0.015679,0.590081
0.020000,6.108649,14.984160,6.695206,3.995044,-0.499518,0.005237,0.589979
0.020000,6.174882,15.028492,6.774907,3.985051,-0.499623,-0.005225,0.589673
0.020000,6.240968,15.072686,6.854408,3.975053,-0.499936,-0.015669,0.589161
0.020000,6.306914,15.116728,6.933709,3.965044,-0.500457,-0.026053,0.588444
0.020000,6.372730,15.160605,7.012810,3.955020,-0.501184,-0.036345,0.587521
0.020000,6.438423,15.204303,7.091709,3.944978,-0.502114,-0.046499,0.586393
0.020000,6.504003,15.247809,7.170407,3.934913,-0.503244,-0.056478,0.585058
0.020000,6.569476,15.291109,7.248904,3.924821,-0.504568,-0.066241,0.583515
0.020000,6.634852,15.334190,7.327198,3.914700,-0.506083,-0.075744,0.581766
0.020000,6.700138,15.377038,7.405289,3.904544,-0.507782,-0.084936,0.579808
0.020000,6.765341,15.419640,7.483176,3.894351,-0.509658,-0.093785,0.577640
0.020000,6.830469,15.461982,7.560858,3.884117,-0.511702,-0.102225,0.575263
0.020000,6.895530,15.504051,7.638335,3.873839,-0.513906,-0.110211,0.572675
0.020000,6.960530,15.545832,7.715605,3.863514,-0.516260,-0.117696,0.569876
0.020000,7.025476,15.587313,7.792668,3.853138,-0.518752,-0.124606,0.566863
0.020000,7.090375,15.628480,7.869522,3.842711,-0.521370,-0.130895,0.563637
0.020000,7.155234,15.669318,7.946167,3.832229,-0.524100,-0.136488,0.560195
0.020000,7.220058,15.709814,8.022601,3.821691,-0.526927,-0.141326,0.556538
0.020000,7.284854,15.749954,8.098822,3.811094,-0.529833,-0.145333,0.552663
0.020000,7.349628,15.789724,8.174831,3.800438,-0.532802,-0.148432,0.548569
0.020000,7.414386,15.829110,8.250626,3.789722,-0.535813,-0.150547,0.544256
0.020000,7.479132,15.868098,8.326204,3.778945,-0.538845,-0.151598,0.539722
0.020000,7.543873,15.906673,8.401567,3.768107,-0.541875,-0.151492,0.534965
0.020000,7.608613,15.944823,8.476711,3.757210,-0.544878,-0.150146,0.529985
0.020000,7.673357,15.982532,8.551636,3.746253,-0.547827,-0.147468,0.524780
0.020000,7.738110,16.019786,8.626341,3.735239,-0.550694,-0.143351,0.519349
0.020000,7.802876,16.056572,8.700824,3.724170,-0.553448,-0.137719,0.513691
0.020000,7.867659,16.092874,8.775085,3.713049,-0.556057,-0.130452,0.507805
0.020000,7.932463,16.128679,8.849123,3.701879,-0.558487,-0.121458,0.501690
0.020000,7.997292,16.163972,8.922936,3.690665,-0.560699,-0.110642,0.495344
0.020000,8.062149,16.198740,8.996524,3.679412,-0.562657,-0.097894,0.488768
0.020000,8.127038,16.232967,9.069887,3.668126,-0.564320,-0.083119,0.481961
0.020000,8.191961,16.266640,9.143023,3.656813,-0.565644,-0.066233,0.474921
0.020000,8.256922,16.299744,9.215933,3.645481,-0.566587,-0.047135,0.467649
0.020000,8.321922,16.332267,9.288615,3.634139,-0.567102,-0.025739,0.460145
0.020000,8.386965,16.364193,9.361071,3.622796,-0.567142,-0.001986,0.452407
0.020000,8.452053,16.395509,9.433301,3.611463,-0.566657,0.024210,0.444438
0.020000,8.517187,16.426201,9.505304,3.600151,-0.565600,0.052883,0.436236
0.020000,8.582369,16.456256,9.577081,3.588873,-0.563918,0.084087,0.427803
0.020000,8.647601,16.485661,9.648634,3.577642,-0.561561,0.117826,0.419139
0.020000,8.712883,16.514401,9.719963,3.566472,-0.558479,0.154123,0.410246
0.020000,8.778057,16.542397,9.790895,3.546604,-0.993400,-21.746052,0.401149
0.020000,8.842798,16.569505,9.861083,3.509358,-1.862278,-43.443916,0.391897
0.020000,8.906780,16.595599,9.930181,3.454908,-2.722527,-43.012417,0.382547
0.020000,8.969837,16.620629,9.998024,3.392166,-3.137095,-20.728413,0.373133
0.020000,9.031967,16.644614,10.064623,3.329962,-3.110192,1.345148,0.363667
0.020000,9.093169,16.667576,10.129990,3.268348,-3.080716,1.473787,0.354163
0.020000,9.153439,16.689536,10.194137,3.207318,-3.051478,1.461908,0.344631
0.020000,9.212776,16.710517,10.257074,3.146867,-3.022553,1.446262,0.335083
0.020000,9.271178,16.730542,10.318814,3.086987,-2.994015,1.426885,0.325532
0.020000,9.328643,16.749635,10.379367,3.027668,-2.965939,1.403821,0.315989
0.020000,9.385168,16.767819,10.438745,2.968900,-2.938395,1.377205,0.306465
0.020000,9.440751,16.785118,10.496958,2.910671,-2.911451,1.347160,0.296971
0.020000,9.495391,16.801558,10.554018,2.852968,-2.885174,1.313882,0.287519
0.020000,9.549085,16.817163,10.609933,2.795775,-2.859622,1.277601,0.278117
0.020000,9.601831,16.831957,10.664715,2.739078,-2.834851,1.238546,0.268778
0.020000,9.653627,16.845966,10.718372,2.682860,-2.810911,1.196997,0.259509
0.020000,9.704471,16.859216,10.770914,2.627103,-2.787846,1.153247,0.250322
0.020000,9.754361,16.871731,10.822350,2.571789,-2.765694,1.107593,0.241224
0.020000,9.803295,16.883537,10.872688,2.516900,-2.744487,1.060378,0.232226
0.020000,9.851271,16.894658,10.921936,2.462415,-2.724249,1.011862,0.223334
0.020000,9.898288,16.905120,10.970103,2.408315,-2.705001,0.962438,0.214557
0.020000,9.944342,16.914948,11.017194,2.354580,-2.686753,0.912379,0.205903
0.020000,9.989434,16.924166,11.063218,2.301189,-2.669513,0.861982,0.197378
0.020000,10.033560,16.932798,11.108180,2.248124,-2.653282,0.811579,0.188989
